,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
720,7750WFTNCH1NSUT,AFTON CHEMICAL CORP,325199,issues,issues,issues,issues,issues,AFTON CHEMICAL CORP,110067263071.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
915,9495WLGCBS2199S,LGC BIOSEARCH TECHNOLOGIES INC,325199,issues,issues,issues,issues,issues,issues,110055425160.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
950,7076WBLCBP21255,BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,325199,325180.0,issues,issues,issues,issues,OLIN CORP,110070828281.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2196,6154WCRNPR831WR,INGREDION,325199,issues,issues,issues,issues,issues,INGREDION INC,110037066260.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2405,37202STFFR4600C,INNOPHOS INC,325180,issues,issues,issues,issues,issues,INNOPHOS INC,110000370811.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2480,7750WKRRYM131BA,KURARAY AMERICA BAYPORT,325211,issues,issues,issues,issues,issues,KURARAY AMERICA INC,110069266261.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2508,0802WCHMRS67CAN,CHEMOURS CHAMBERS WORKS,325199,issues,issues,issues,issues,issues,THE CHEMOURS CO,110007970142.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2544,2530WNVTNT11SCI,UNIVATION TECHNOLOGIES LLC,325199,issues,issues,issues,issues,issues,DOW INC.,110043228833.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2564,45373GDSNP1250S,DELTECH POLYMERS CORP,325211,issues,issues,issues,issues,issues,DELTECH HOLDINGS INC,110000394387.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2750,3090WPVSTC244DU,PVS TECHNOLOGIES INC. (AUGUSTA),325180,issues,issues,issues,issues,issues,PVS CHEMICALS INC,110000513659.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
