,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
6,3264WVLTXN131SU,AIR LIQUIDE ADVANCED MATERIALS INC,325120,325180.0,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110012540483,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
10,7974WDCPGL16WES,DCP GOLDSMITH PLANT,211130,issues,issues,issues,issues,issues,DCP MIDSTREAM LLC,110034359405,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
13,8824WNCPLN136ST,EUNICE PLANT,211130,issues,issues,issues,issues,issues,DCP MIDSTREAM LLC,110055499991,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
16,6041WDVRSF24338,DIVERSIFIED CPC INTERNATIONAL INC,325120,issues,issues,issues,issues,issues,SUMITOMO CORP OF AMERICAS,110000578214,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
18,1807WMTHSN141ST,MATHESON TRI-GAS INC-PALM,325120,issues,issues,issues,issues,issues,TAIYO NIPPON SANSO USA INC,110043569466,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
21,7750WRLQDL11777,AIR LIQUIDE LARGE INDUSTRIES US LP - SMR UNIT,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110046424598,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
24,7007WRPRDC1251B,AIR PRODUCTS & CHEMICALS INC LULING SMR,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC.,110055498956,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
30,0096WHDSNT869KM,HUDSON TECHNOLOGIES CO,325120,issues,issues,issues,issues,issues,HUDSON TECHNOLOGIES INC,110070071511,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
32,2618WCHMRS848DU,CHEMOURS WASHINGTON WORKS,325120,325211.0,issues,issues,issues,issues,THE CHEMOURS CO,110000586081,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
47,8538WRPRCR8932W,A-GAS US INC,325120,issues,issues,issues,issues,issues,A-GAS US HOLDINGS INC,110069348664,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
49,4021WDPNTL425CA,DUPONT LOUISVILLE PLANT,325120,issues,issues,issues,issues,issues,DUPONT DE NEMOURS INC,110069236883,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
52,7701WPTRMX1519S,PETROMAX REFINING CO LLC,211130,issues,issues,issues,issues,issues,PETROMAX REFINING CO LLC,110064465289,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
53,46323GGSCN3930M,LINDE GAS NA LLC,325120,issues,issues,issues,issues,issues,LINDE GAS N.A. LLC,110000727447,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
