FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHG_NAME,GHG_QUANTITY,MSHA_IDENTIFICATION_NUMBER
1000386,2011,NO. 65,CARBON DIOXIDE,0.0,
1000386,2011,NO. 65,METHANE,391.06,
1001681,2011,WILLOW LAKE MINE,CARBON DIOXIDE,0.0,
1001681,2011,WILLOW LAKE MINE,METHANE,14776.23,
1001682,2011,TWENTYMILE MINE,CARBON DIOXIDE,0.0,
1001682,2011,TWENTYMILE MINE,METHANE,1140.09,
1001683,2011,GATEWAY MINE,CARBON DIOXIDE,0.0,
1001683,2011,GATEWAY MINE,METHANE,1294.75,
1001684,2011,FRANCISCO UNDERGROUND MINE,CARBON DIOXIDE,0.0,
1001684,2011,FRANCISCO UNDERGROUND MINE,METHANE,9045.8,
1001685,2011,AIR QUALITY MINE,CARBON DIOXIDE,0.0,
1001685,2011,AIR QUALITY MINE,METHANE,9091.39,
1001686,2011,WILDCAT HILLS MINE,CARBON DIOXIDE,0.0,
1001686,2011,WILDCAT HILLS MINE,METHANE,3041.21,
1001687,2011,BLUE DIAMOND MINING MINE 77,CARBON DIOXIDE,0.0,
1001687,2011,BLUE DIAMOND MINING MINE 77,METHANE,551.92,
1003058,2011,OAKTOWN FUELS MINE NO.1,CARBON DIOXIDE,0.0,
1003058,2011,OAKTOWN FUELS MINE NO.1,METHANE,11282.0,
1003751,2011,CARLISLE MINE,CARBON DIOXIDE,0.0,
1003751,2011,CARLISLE MINE,METHANE,18548.77,
1004421,2011,HOPEDALE MINING LLC,CARBON DIOXIDE,0.0,
1004421,2011,HOPEDALE MINING LLC,METHANE,4296.73,
1004441,2011,"COAL RIVER MINING, LLC",CARBON DIOXIDE,0.0,
1004441,2011,"COAL RIVER MINING, LLC",METHANE,2924.56,
1004512,2011,OAK GROVE MINE,CARBON DIOXIDE,0.0,
1004512,2011,OAK GROVE MINE,METHANE,45461.23,
1004677,2011,PINNACLE MINING CO LLC - PINNACLE MINE,CARBON DIOXIDE,0.0,
1004677,2011,PINNACLE MINING CO LLC - PINNACLE MINE,METHANE,24892.03,
1005761,2011,BAILEY MINE-CRABAPPLE PORTAL,CARBON DIOXIDE,0.0,
1005761,2011,BAILEY MINE-CRABAPPLE PORTAL,METHANE,83477.76,
1005764,2011,MONONGALIA COUNTY MINE,CARBON DIOXIDE,0.0,
1005764,2011,MONONGALIA COUNTY MINE,METHANE,60020.74,
1006581,2011,PRIME NO. 1 MINE,CARBON DIOXIDE,0.0,
1006581,2011,PRIME NO. 1 MINE,METHANE,7321.09,
1006582,2011,CRAWDAD NO. 1 MINE,CARBON DIOXIDE,0.0,
1006582,2011,CRAWDAD NO. 1 MINE,METHANE,1207.28,
1006623,2011,BEECHFORK MINE,CARBON DIOXIDE,0.0,
1006623,2011,BEECHFORK MINE,METHANE,724.06,
1007166,2011,BIG RUN MINE,CARBON DIOXIDE,0.0,
1007166,2011,BIG RUN MINE,METHANE,1084.75,
1007167,2011,PARKWAY MINE,CARBON DIOXIDE,0.0,
1007167,2011,PARKWAY MINE,METHANE,821.67,
1007168,2011,KRONOS MINE,CARBON DIOXIDE,0.0,
1007168,2011,KRONOS MINE,METHANE,41.95,
1007174,2011,"ICG BECKLEY, LLC",CARBON DIOXIDE,0.0,
1007174,2011,"ICG BECKLEY, LLC",METHANE,15500.25,
1007215,2011,BOWIE NO. 2 MINE,CARBON DIOXIDE,0.0,
1007215,2011,BOWIE NO. 2 MINE,METHANE,9103.5,
1007408,2011,4 WEST MINE,CARBON DIOXIDE,0.0,
1007408,2011,4 WEST MINE,METHANE,2498.33,
1007472,2011,SENTINEL MINE,CARBON DIOXIDE,0.0,
1007472,2011,SENTINEL MINE,METHANE,16180.52,
1007473,2011,SYCAMORE #2 MINE,CARBON DIOXIDE,0.0,
1007473,2011,SYCAMORE #2 MINE,METHANE,2491.95,
1007528,2011,"MATRIX ENERGY, LLC",CARBON DIOXIDE,0.0,
1007528,2011,"MATRIX ENERGY, LLC",METHANE,4269.32,
1007532,2011,PROSPERITY MINE,CARBON DIOXIDE,0.0,
1007532,2011,PROSPERITY MINE,METHANE,9104.45,
1007534,2011,MINE #15,CARBON DIOXIDE,0.0,
1007534,2011,MINE #15,METHANE,5226.9,
1008387,2011,BUCHANAN MINE #1,CARBON DIOXIDE,0.0,
1008387,2011,BUCHANAN MINE #1,METHANE,63047.67,
1008388,2011,VIPER MINE,CARBON DIOXIDE,0.0,
1008388,2011,VIPER MINE,METHANE,5122.08,
1008756,2011,EMERY MINE,CARBON DIOXIDE,0.0,
1008756,2011,EMERY MINE,METHANE,1916.74,
1008757,2011,ENLOW FORK MINE,CARBON DIOXIDE,0.0,
1008757,2011,ENLOW FORK MINE,METHANE,83355.76,
1008760,2011,MARION COUNTY MINE,CARBON DIOXIDE,0.0,
1008760,2011,MARION COUNTY MINE,METHANE,68324.78,
1008761,2011,MARSHALL COUNTY MINE,CARBON DIOXIDE,0.0,
1008761,2011,MARSHALL COUNTY MINE,METHANE,88094.39,
1008762,2011,WASHINGTON COUNTY MINE,CARBON DIOXIDE,0.0,
1008762,2011,WASHINGTON COUNTY MINE,METHANE,2302.33,
1008764,2011,HARRISON COUNTY MINE,CARBON DIOXIDE,0.0,
1008764,2011,HARRISON COUNTY MINE,METHANE,58407.59,
1008766,2011,OHIO COUNTY MINE,CARBON DIOXIDE,0.0,
1008766,2011,OHIO COUNTY MINE,METHANE,21808.49,
1008988,2011,MCCLANE CANYON MINING LLC,CARBON DIOXIDE,0.0,
1008988,2011,MCCLANE CANYON MINING LLC,METHANE,891.71,
1008990,2011,BLUE DIAMOND MINING MINE 68,CARBON DIOXIDE,0.0,
1008990,2011,BLUE DIAMOND MINING MINE 68,METHANE,1682.04,
1009342,2011,SAN JUAN MINE,CARBON DIOXIDE,0.0,
1009342,2011,SAN JUAN MINE,METHANE,27249.1,
1009560,2011,EMC #9,CARBON DIOXIDE,0.0,
1009560,2011,EMC #9,METHANE,2919.52,
1009561,2011,NORTH FORK #4,CARBON DIOXIDE,0.0,
1009561,2011,NORTH FORK #4,METHANE,1944.22,
1009600,2011,SHOAL CREEK MINE,CARBON DIOXIDE,0.0,
1009600,2011,SHOAL CREEK MINE,METHANE,41768.0,
1009623,2011,"OXBOW MINING, LLC",CARBON DIOXIDE,0.0,
1009623,2011,"OXBOW MINING, LLC",METHANE,53465.3,
1009746,2011,REVELATION-DORCHESTER MINE #4,CARBON DIOXIDE,0.0,
1009746,2011,REVELATION-DORCHESTER MINE #4,METHANE,3642.5,
1009748,2011,REVELATION-BLUFF SPUR #1,CARBON DIOXIDE,0.0,
1009748,2011,REVELATION-BLUFF SPUR #1,METHANE,739.09,
1009749,2011,REVELATION-OSAKA MINE #1,CARBON DIOXIDE,0.0,
1009749,2011,REVELATION-OSAKA MINE #1,METHANE,1603.48,
1009755,2011,LAUREL MOUNTAIN DEEP MINE,CARBON DIOXIDE,0.0,
1009755,2011,LAUREL MOUNTAIN DEEP MINE,METHANE,964.31,
1009757,2011,ROARING FORK NO. 4 DEEP MINE,CARBON DIOXIDE,0.0,
1009757,2011,ROARING FORK NO. 4 DEEP MINE,METHANE,1039.34,
1009758,2011,TILLER NO.1 DEEP MINE,CARBON DIOXIDE,0.0,
1009758,2011,TILLER NO.1 DEEP MINE,METHANE,3226.86,
1009759,2011,CUCUMBER MINE,CARBON DIOXIDE,0.0,
1009759,2011,CUCUMBER MINE,METHANE,6118.3,
1009760,2011,WYOMING 2 MINE,CARBON DIOXIDE,0.0,
1009760,2011,WYOMING 2 MINE,METHANE,3092.7,
1009761,2011,GRAVEFORK NO. 1 MINE,CARBON DIOXIDE,0.0,
1009761,2011,GRAVEFORK NO. 1 MINE,METHANE,4546.68,
1009819,2011,DEEP MINE 26,CARBON DIOXIDE,0.0,
1009819,2011,DEEP MINE 26,METHANE,19775.23,
1009820,2011,DEEP MINE 35,CARBON DIOXIDE,0.0,
1009820,2011,DEEP MINE 35,METHANE,2147.48,
